name,address
あいクリニック,相模原市緑区橋本３－３１－５
愛心ケアクリニック,相模原市南区相武台団地２－３－９－１０６
あおぞらクリニック,相模原市中央区鹿沼台2－10－16　第3ＳＫビル3Ｆ
青野原診療所,相模原市緑区青野原２０１５－２
アンディクリニック,相模原市南区相模台２－１－６　ＡＮＤＹビル２階
いざなぎ診療所,相模原市緑区長竹１１８９－４
遠藤クリニック,相模原市中央区由野台１－２３－７
おぐちこどもクリニック,相模原市中央区鹿沼台１－７－７　トラストテック相模原ビル５Ｆ
奥平医院,相模原市南区東林間3－8－11
風と森診療所,相模原市南区相模大野３－１９－１５　サンハイツ相模大野２０３号
かとう在宅医療クリニック,相模原市南区古淵２－１６－９　リバーストーン古淵３０４号
かねしろ内科クリニック,相模原市南区上鶴間７－７　小田急マルシェ東林間２F
かみみぞ中央診療所,相模原市中央区上溝３９２６－１０
北里大学病院,相模原市南区北里１－１５－１
北里大学前ライフクリニック,相模原市南区麻溝台１－３－６　センチュリートドロキ１F
くろだ脳神経クリニック,相模原市南区相模大野３－１７－２１　川井ビル１・２階
晃友内科整形外科,相模原市緑区大島1585-5
晃友相模原病院,相模原市緑区大島１６０５－１
国立病院機構相模原病院,相模原市南区桜台１８－１
こころの樹クリニック,相模原市南区南台５－１２－１５　アールアサオカ相模原ビル３Ｆ
在宅支援クリニック彩,相模原市緑区東橋本２－２０－１１　シャンポール３０５
さがまちクリニック,相模原市南区旭町8-18　太洋ビル2階2Ａ・2Ｂ
さがみ永愛クリニック,相模原市中央区相模原１－３－９
さがみ永愛クリニック橋本分院,相模原市緑区橋本３－１９－２０　ＮＢＫビル２階
相模大野南口あおクリニック,相模原市南区相模大野７－６－８　ＳＫＹビル１Ｆ
相模ヶ丘病院,相模原市南区下溝４３７８
相模湖病院,相模原市緑区寸沢嵐2891
さがみ在宅診療クリニック,相模原市緑区大島１７４１-６
さがみ仁和会病院,相模原市中央区相模原４－１１－４
相模原協同病院,相模原市緑区橋本台４－３－１
相模原心と体のクリニック,相模原市中央区相模原２－１－６　岩村ビル１階
相模原赤十字病院,相模原市緑区中野２５６
相模原中央病院,相模原市中央区富士見６－４－２０
さがみはらファミリークリニック,相模原市中央区上溝5－１４－１９　ダイエー上溝店３Ｆ
相模原療育園,相模原市南区若松１－２１－９
相模病院,相模原市南区若松１－１２－２５
相模ライフクリニック,相模原市南区相模大野８－６－６　ラ・コルヌイエ相模大野３階
さがみ緑風園診療所,相模原市南区麻溝台２－４－１８
さがみ林間病院,相模原市南区上鶴間７－９－１
さくらライフさがみクリニック,相模原市南区相模大野３－１９－１１　日広第二ビル６F
城山すずきクリニック,相模原市緑区川尻１４２４－１
鈴木内科・循環器科,相模原市緑区橋本６－２－２　Ｂ'ｓタワー橋本ステーションフロントＥ－３０１
住吉クリニック,相模原市南区相模大野８－５－１　ルミエール大野南１Ｆ
総合相模更生病院,相模原市中央区小山３４２９
相州メンタルクリニック相模大野,相模原市南区相模大野３－１２－１２　相模大野セントラルプラザ４階５階
相武台脳神経外科,相模原市南区相武台１－２３－９　TKビル
そうわクリニック,相模原市緑区東橋本２－３０－８　２階
武井小児科医院,相模原市南区南台５－１５－７
地域・往診クリニックさがみはら,相模原市南区古淵１－１８－３１－３０２
千木良診療所,相模原市緑区千木良８５２－８
津久井やまゆり園診療所,相模原市緑区千木良４７６
つばさクリニック相模原,相模原市緑区橋本６－３８－５
積木の街通りクリニック,相模原市南区相模大野６－１３－４　高木ビル２－Ａ
豊田内科クリニック,相模原市南区大野台７－２９－５
西村クリニック,相模原市中央区すすきの町３６－１７
にしもと脳神経外科クリニック,相模原市緑区向原４－２－３　コピオ相模原インター内
西脇医院,相模原市緑区橋本４－５－１２
脳神経外科福島孝徳記念クリニック,相模原市緑区下九沢１６４４－１
脳と神経のクリニック橋本,相模原市緑区西橋本５－１－１　ラフロール３Ｆ
萩メンタルクリニック相模原,相模原市中央区相模原３－５－４　トラストスクエア相模原５０１
橋本こころのクリニック,相模原市緑区橋本２－２２－４
はしもと南口クリニック,相模原市緑区橋本１－１７－２０塚田クリニックハウス２F
はしもとメンタルクリニック,相模原市緑区橋本６－４－１２
発達心療クリニック,相模原市南区上鶴間本町２－１８－１５　１階
ふじの温泉病院,相模原市緑区牧野８１４７－２
藤野診療所,相模原市緑区小渕１６５６－１
渕野辺総合病院,相模原市中央区淵野辺３－２－８
ペアナードオダサガはやしクリニック,相模原市南区南台５－１１－１９ペアナードオダサガ３０２号室
北条クリニックおおの,相模原市南区相模大野７－５－１９　第二江口ビル３Ｆ
北条クリニックはしもと,相模原市緑区下九沢１７７９－１
保坂クリニック,相模原市南区古淵１－１５－１０
松が枝こどもクリニック,相模原市南区松が枝町１６－１０　鈴木共同店舗２０４
みどりクリニック,相模原市中央区鹿沼台２－１９－６　パークハイム鹿沼３０５
宮崎クリニック,相模原市南区古淵３－１８－１３
森田病院,相模原市緑区三ケ木６２７
優心クリニック,相模原市南区相模大野５－２７－３９　和田ビル３階
ゆたかクリニック,相模原市南区相模大野３－１４－２０　相模大野ＴＨ＆Ｃビル３階
